id,idconcept,idontology,concept
0,1,1,saref:Temperature
1,2,1,saref:Humidity
2,3,1,saref:Pressure
3,4,1,saref:Lighting device
4,5,1,saref:Smoke
5,6,2,om:Rankine_temperature_scale
6,7,2,om:Luminance_unit
7,8,2,om:Fahrenheit_temperature_scale
8,9,2,om:Celsius_temperature_scale
9,10,1,saref:Occupancy
10,11,1,saref:Pressure
11,12,4,geo:Point
12,13,1,saref:Actuator
13,14,1,saref:Sensor
14,15,3,m3-lite:GPSSensor
15,16,3,m3-lite:HeartBeatSensor
16,17,3,m3-lite:PrecipitationSensor
17,18,3,m3-lite:WeightSensor
18,19,3,m3-lite:CO2
19,20,3,m3-lite:BeatPerMinute
20,21,3,m3-lite:HeartBeatSensor
21,22,3,m3-lite:Humidity
22,23,3,m3-lite:MeterPerSecond
23,24,3,m3-lite:KilometerPerHour
24,25,3,m3-lite:Decibel
25,26,3,m3-lite:Lux
26,27,3,m3-lite:LightSensor
27,28,3,m3-lite:Magnetometer
28,29,3,m3-lite:Tesla
29,30,3,m3-lite:PPM
30,31,1,saref:OnOffFunction
31,32,3,m3-lite:BodyThermometer
32,33,3,m3-lite:FallDetector
33,34,1,saref:OnOffState
34,35,3,m3-lite:Glucometer
35,36,3,m3-lite:MmolPerLiter
36,37,3,m3-lite:Odometer
37,38,3,m3-lite:Miles
38,39,3,m3-lite:GyroscopeSensor
39,40,3,m3-lite:Pascal
40,41,3,m3-lite:Kilo
41,42,3,m3-lite:Inch
42,43,3,m3-lite:SoundSensor
43,44,3,m3-lite:MilligramPerCubicMetre
44,45,3,m3-lite:Centimetre
45,46,2,om:Angular_acceleration_unit
46,47,3,m3-lite:Pedometer
47,48,5,xsd:positiveInteger
