id,idinteracao,nome_interacao,min_valor,max_valor,context,observable,readonly,idconcept_context,idconcept_unit_measurement,formula
0,7,temperature,0,100,saref:Temperature,true,true,1,9,Math.random() * ((MAX)-(MIN))+(MIN)
1,8,temperature,-20,80,saref:Temperature,true,true,1,8,Math.random() * ((MAX)-(MIN))+(MIN)
2,9,temperature,-5,120,saref:Temperature,true,true,1,6,Math.random() * ((MAX)-(MIN))+(MIN)
3,10,luminosity,0,5000,,true,true,4,7,Math.random() * ((MAX)-(MIN))+(MIN)
4,11,humidity,0,100,saref:Humidity,true,true,2,22,Math.random() * ((MAX)-(MIN))+(MIN)
5,12,gps,-40,-20,,true,true,15,12,"[Math.random() * ((MAX)-(MAX-1))+(MAX-1), Math.random() * ((MIN)-(MIN-1))+(MIN-1)]"
6,13,ultrasonic,0,100,,true,true,14,45,Math.random() * ((MAX)-(MIN))+(MIN)
7,14,magnetic,0,1000,,true,true,28,29,Math.random() * ((MAX)-(MIN))+(MIN)
8,15,pressure,0,100,saref:Pressure,true,true,11,40,Math.random() * ((MAX)-(MIN))+(MIN)
9,16,weight,0,100,,true,true,18,41,Math.random() * ((MAX)-(MIN))+(MIN)
10,17,heart_rate,0,200,,true,true,21,20,Math.random() * ((MAX)-(MIN))+(MIN)
11,18,oxygen,0,200,,true,true,14,30,Math.random() * ((MAX)-(MIN))+(MIN)
12,19,speed,0,200,,true,true,14,24,Math.random() * ((MAX)-(MIN))+(MIN)
13,20,speed,0,1000,,true,true,14,23,Math.random() * ((MAX)-(MIN))+(MIN)
14,21,height,0,4000,,true,true,14,42,Math.random() * ((MAX)-(MIN))+(MIN)
15,22,precipitation,0,100,,true,true,17,44,Math.random() * ((MAX)-(MIN))+(MIN)
16,23,carbon_monoxide ,0,100,,true,true,14,30,Math.random() * ((MAX)-(MIN))+(MIN)
17,24,carbon_dioxide,0,100,,true,true,14,19,Math.random() * ((MAX)-(MIN))+(MIN)
18,25,Pedometer,0,1000,,true,true,47,48,Math.random() * ((MAX)-(MIN))+(MIN)
19,26,sound,0,52,,true,true,43,25,Math.random() * ((MAX)-(MIN))+(MIN)
20,27,led,0,1,,true,false,4,31,Math.round(Math.random() * ((MAX)-(MIN))+(MIN))
21,28,light,0,100,saref:Light,true,true,27,26,Math.random() * ((MAX)-(MIN))+(MIN)
22,29,engine,0,1,,true,true,13,31,Math.round(Math.random() * ((MAX)-(MIN))+(MIN))
23,30,smoke,0,100,saref:Smoke,true,true,5,30,Math.random() * ((MAX)-(MIN))+(MIN)
24,31,accelerometer,0,1000,,true,true,14,46,Math.random() * ((MAX)-(MIN))+(MIN)
25,32,gyroscope,0,1000,,true,true,39,46,Math.random() * ((MAX)-(MIN))+(MIN)
26,33,odometer,0,100,,true,true,37,38,Math.random() * ((MAX)-(MIN))+(MIN)
27,34,falldetector,0,100,,true,true,33,34,Math.random() * ((MAX)-(MIN))+(MIN)
28,35,buzzer,0,1,,true,true,13,31,Math.round(Math.random() * ((MAX)-(MIN))+(MIN))
29,36,ozone,0,100,,true,true,14,30,Math.random() * ((MAX)-(MIN))+(MIN)
30,37,Glucometer,0,100,,true,true,35,36,Math.random() * ((MAX)-(MIN))+(MIN)
31,37,counter,0,100,iot:http://example.org/iot,true,true,35,36,Math.random() * ((MAX)-(MIN))+(MIN)
